,date,remittance_usd(millions),pkr_exchange_rate,usd_exchange_rate,remittance_pkr(100_millions),remittance_pct_change,pkr_pct_change,roling_corr_remittance_pkr_pct_change,remittance_year_by_year,remittance_3mo_avg,remittance_12mo_avg,fiscal_year
0,2005-07-31,313.14,0.016773,59.619626781136354,186.6928993024504,,59.619626781136354,,,,,2006
1,2005-08-31,348.41,0.016758,59.672992003819076,207.90667144050607,11.263332694641392,59.672992003819076,,,,,2006
2,2005-09-30,341.1,0.016751,59.69792848188168,203.62963405169845,-2.0981028099078647,59.69792848188168,,,334.2166666666667,,2006
3,2005-10-31,372.5,0.016752,59.69436485195798,222.36150907354346,9.205511580181746,59.69436485195798,,,354.00333333333333,,2006
4,2005-11-30,308.81,0.016737,59.74786401386151,184.50737886120572,-17.097986577181214,59.74786401386151,,,340.80333333333334,,2006
5,2005-12-31,371.24,0.016729,59.776436128878,221.91404148484668,20.216314238528543,59.776436128878,,,350.84999999999997,,2006
6,2006-01-31,391.32,0.016712,59.83724269985639,234.155098133078,5.408899903027686,59.83724269985639,,,357.1233333333333,,2006
7,2006-02-28,358.13,0.016706,59.85873338920149,214.37208188674728,-8.481549626903817,59.85873338920149,,,373.56333333333333,,2006
8,2006-03-31,423.56,0.016678,59.9592277251469,253.9633049526322,18.269901990897154,59.9592277251469,,,391.00333333333333,,2006
9,2006-04-30,401.47,0.016661,60.020406938359045,240.96392773543008,-5.215317782604578,60.020406938359045,,,394.3866666666667,,2006
10,2006-05-31,506.57,0.016611,60.2010715790741,304.9605682981157,26.178792935960328,60.2010715790741,,,443.8666666666666,,2006
11,2006-06-30,463.87,0.016618,60.17571308220002,279.1370802744012,-8.429239789170296,60.17571308220002,,,457.30333333333334,383.3433333333333,2006
12,2006-07-31,377.01,0.016574,60.33546518643659,227.4707372993846,-18.7250738353418,60.33546518643659,-0.17866852060024271,20.39662770645718,449.15000000000003,388.6658333333333,2007
13,2006-08-31,434.84,0.01656,60.3864734299517,262.5845410628019,15.339115673324311,60.3864734299517,0.03413626587122318,24.80698028185182,425.24,395.86833333333334,2007
14,2006-09-30,421.74,0.016516,60.547348026156456,255.35238556551224,-3.0126023364915766,60.547348026156456,-0.07074087136409375,23.64116094986808,411.19666666666666,402.58833333333337,2007
15,2006-10-31,410.61,0.016501,60.60238773407673,248.83946427489246,-2.6390667235737686,60.60238773407673,-0.06446946976263634,10.230872483221475,422.3966666666667,405.76416666666665,2007
16,2006-11-30,448.61,0.016442,60.81985159956211,272.84393626079554,9.254523757336642,60.81985159956211,-0.1442822700532901,45.270554710015865,426.9866666666667,417.4141666666667,2007
17,2006-12-31,475.21,0.016424,60.88650754992693,289.3387725280078,5.929426450591824,60.88650754992693,0.04423284640082039,28.006141579571153,444.81,426.0783333333334,2007
18,2007-01-31,391.33,0.016465,60.73489219556635,237.6738536289098,-17.651143704888362,60.73489219556635,-0.0682670607891253,0.002555453337427238,438.3833333333334,426.07916666666665,2007
19,2007-02-28,457.18,0.016478,60.68697657482704,277.44871950479427,16.827230214908152,60.68697657482704,-0.10697513103564829,27.657554519308626,441.24,434.3333333333333,2007
20,2007-03-31,520.24,0.016472,60.70908207867897,315.8329286061195,13.793254298088286,60.70908207867897,0.11902008065630512,22.825573708565482,456.25,442.39000000000004,2007
21,2007-04-30,513.35,0.016479,60.683293889192306,311.5176891801687,-1.324388743656768,60.683293889192306,0.01232485764836295,27.867586619174524,496.92333333333335,451.7133333333333,2007
22,2007-05-31,537.98,0.016468,60.723828030119016,326.6820500364343,4.7978961722022095,60.723828030119016,0.3630452643630365,6.200525100183585,523.8566666666667,454.3308333333334,2007
23,2007-06-30,505.55,0.016546,60.437567992263986,305.54212498489056,-6.028105134019857,60.437567992263986,0.31806880275477456,8.985276047168389,518.96,457.80416666666673,2007
24,2007-07-31,495.69,0.016555,60.40471156750226,299.420114768952,-1.9503511027593734,60.40471156750226,0.10343596701355752,31.47927110686719,513.0733333333334,467.69416666666666,2008
25,2007-08-31,489.51,0.01648,60.679611650485434,297.03276699029124,-1.246746958784728,60.679611650485434,0.35711679905826593,12.572440437862209,496.9166666666667,472.25,2008
26,2007-09-30,516.05,0.01648,60.679611650485434,313.13713592233006,5.421748278891125,60.679611650485434,0.3343996234806963,22.36211884099206,500.4166666666667,480.1091666666667,2008
27,2007-10-31,580.24,0.016479,60.683293889192306,352.1087444626494,12.43871717856797,60.683293889192306,0.30699367932021887,41.31170697255302,528.6,494.24500000000006,2008
28,2007-11-30,505.58,0.016359,61.128430833180516,309.05312060639403,-12.867089480215089,61.128430833180516,-0.1484582806864407,12.6992264996322,533.9566666666666,498.9925,2008
29,2007-12-31,479.26,0.016255,61.519532451553374,294.8385112273147,-5.205902132204598,61.519532451553374,-0.2567225296764227,0.8522547926180124,521.6933333333333,499.33,2008
30,2008-01-31,557.07,0.015979,62.58213905751298,348.62632204768755,16.235446313065992,62.58213905751298,0.21784750563804445,42.35300130324791,513.97,513.1416666666667,2008
31,2008-02-29,502.76,0.016003,62.488283446853714,314.16609385740173,-9.749223616421643,62.488283446853714,0.00408833787984554,9.969814952535106,513.0300000000001,516.94,2008
32,2008-03-31,602.21,0.015945,62.71558482282847,377.6795233615553,19.780809929190866,62.71558482282847,0.3481233254924429,15.756189451022617,554.0133333333334,523.7708333333334,2008
33,2008-04-30,590.71,0.015508,64.48284756254837,380.9066288367295,-1.9096328523272588,64.48284756254837,0.14919891899678847,15.069640596084554,565.2266666666667,530.2175000000001,2008
34,2008-05-31,584.75,0.015019,66.58232904987017,389.34016911911584,-1.0089553249479466,66.58232904987017,0.06269125727396517,8.69363173352169,592.5566666666667,534.115,2008
